iter	Logloss
0	0.6220401361
1	0.5641994404
2	0.5163965254
3	0.4736782978
4	0.4341300455
5	0.4014118087
6	0.372702706
7	0.3497844481
8	0.3314879415
9	0.3114642654
10	0.2964822488
11	0.2814959526
12	0.2697028177
13	0.2608390883
14	0.2518743766
15	0.2437095956
16	0.237536416
17	0.2303399037
18	0.2244288966
19	0.2199774015
20	0.2154789299
21	0.2123110341
22	0.2093929917
23	0.2066064257
24	0.2040704668
25	0.2018023238
26	0.1991677675
27	0.1975192923
28	0.1958620227
29	0.1941226832
30	0.1927812866
31	0.1913969848
32	0.1902332976
33	0.1892150658
34	0.188162286
35	0.1876335193
36	0.186649002
37	0.1858522336
38	0.1851434042
39	0.1847172592
40	0.1842281833
41	0.1838486031
42	0.1833727248
43	0.1829443848
44	0.1827437581
45	0.1823123294
46	0.1819563846
47	0.1815840309
48	0.1812765846
49	0.1810465822
50	0.1807468638
51	0.180581967
52	0.180399602
53	0.1802057718
54	0.180038876
55	0.1798466596
56	0.1797074021
57	0.1795290125
58	0.179374443
59	0.179224948
60	0.1791150395
61	0.1790117723
62	0.1789171717
63	0.1788520785
64	0.1787229033
65	0.1786353626
66	0.1785152657
67	0.1784668633
68	0.1784100322
69	0.1783216806
70	0.1782376914
71	0.1781574915
72	0.1780643372
73	0.177988458
74	0.1778949156
75	0.1778376136
76	0.1777520811
77	0.1776929662
78	0.1776336174
79	0.1775790344
80	0.1775016465
81	0.1774190138
82	0.1773296673
83	0.177265286
84	0.1772278596
85	0.1771808749
86	0.1771370423
87	0.1770937694
88	0.1770661189
89	0.1770385603
90	0.1770025844
91	0.1769720351
92	0.1769321655
93	0.1768774427
94	0.1768318685
95	0.1767973695
96	0.1767664812
97	0.1767252582
98	0.1766888124
99	0.1766524166
100	0.1766135705
101	0.1765865482
102	0.1765527253
103	0.1765192293
104	0.1764680497
105	0.1764086468
106	0.1763716515
107	0.1763521252
108	0.1763088462
109	0.1762750407
110	0.1762417439
111	0.1762056831
112	0.176157343
113	0.1761194938
114	0.1760948503
115	0.1760570675
116	0.1760348826
117	0.1759966513
118	0.1759533079
119	0.1759254613
120	0.1758966996
121	0.1758519099
122	0.175810307
123	0.1757932822
124	0.1757726518
125	0.1757357055
126	0.1756994476
127	0.175659815
128	0.175607854
129	0.1755595967
130	0.1755369439
131	0.1755136456
132	0.1755032252
133	0.1754769159
134	0.1754513051
135	0.1754258874
136	0.1753827565
137	0.1753599842
138	0.1753089548
139	0.1752969921
140	0.1752629721
141	0.175212487
142	0.1751882062
143	0.1751612778
144	0.1751275019
145	0.1750942858
146	0.1750508577
147	0.1750125805
148	0.1749988916
149	0.1749694148
150	0.1749466528
151	0.1749191953
152	0.1748917134
153	0.1748549346
154	0.1748145083
155	0.1747915604
156	0.1747800328
157	0.1747395013
158	0.1747191151
159	0.1747100675
160	0.1746963449
161	0.174680602
162	0.1746431684
163	0.1746175985
164	0.1745960009
165	0.174565373
166	0.1745522459
167	0.1745315941
168	0.174489507
169	0.1744670862
170	0.1744414611
171	0.174414212
172	0.174400277
173	0.1743753434
174	0.1743535905
175	0.1743404348
176	0.1743280299
177	0.17429077
178	0.1742804058
179	0.1742559472
180	0.1742136558
181	0.1742072159
182	0.1741904086
183	0.1741667692
184	0.1741303316
185	0.1740837575
186	0.1740537159
187	0.1740159014
188	0.1740020828
189	0.1739905807
190	0.1739832552
191	0.1739689116
192	0.1739435266
193	0.1739175471
194	0.1738829888
195	0.1738611287
196	0.1738425473
197	0.1738169192
198	0.173805031
199	0.1737731488
