iter	Passed	Remaining
0	5	541
1	10	515
2	14	479
3	19	471
4	23	450
5	28	451
6	33	447
7	37	433
8	40	407
9	45	405
10	49	402
11	53	395
12	58	394
13	62	386
14	67	383
15	71	376
16	76	375
17	81	372
18	86	366
19	90	362
20	94	356
21	99	351
22	103	345
23	108	343
24	112	338
25	116	331
26	121	328
27	126	324
28	131	320
29	136	318
30	142	317
31	148	315
32	154	313
33	159	310
34	165	307
35	174	309
36	180	306
37	186	303
38	192	300
39	198	297
40	204	294
41	211	291
42	217	288
43	224	285
44	230	281
45	237	278
46	240	270
47	246	266
48	251	261
49	256	256
50	261	251
51	266	245
52	271	240
53	275	234
54	279	229
55	284	223
56	289	218
57	294	213
58	298	207
59	303	202
60	308	196
61	312	191
62	317	186
63	322	181
64	327	176
65	331	170
66	337	166
67	342	161
68	347	156
69	354	151
70	360	147
71	365	142
72	371	137
73	377	132
74	383	127
75	390	123
76	395	118
77	401	113
78	406	108
79	411	102
80	417	97
81	423	92
82	429	88
83	435	82
84	440	77
85	447	72
86	452	67
87	458	62
88	463	57
89	468	52
90	474	46
91	479	41
92	484	36
93	489	31
94	495	26
95	500	20
96	506	15
97	512	10
98	517	5
99	523	0
