iter	Logloss
0	0.6931160237
1	0.6930606969
2	0.6930240147
3	0.6929849511
4	0.6929416198
5	0.6929032618
6	0.6928613669
7	0.6928211159
8	0.692773115
9	0.6927346113
10	0.6926913587
11	0.6926485012
12	0.6926089227
13	0.6925630351
14	0.6925246801
15	0.6924821664
16	0.6924447718
17	0.6924035034
18	0.6923623736
19	0.6923270823
20	0.6922826807
21	0.6922438051
22	0.6921998195
23	0.6921608538
24	0.6921216916
25	0.6920816883
26	0.6920361545
27	0.691996503
28	0.6919561588
29	0.6919160307
30	0.6918760815
31	0.6918324265
32	0.6917931782
33	0.6917553698
34	0.6917158742
35	0.6916774581
36	0.6916354479
37	0.6915954375
38	0.6915538038
39	0.6915131959
40	0.6914724624
41	0.6914289159
42	0.6913920876
43	0.6913509568
44	0.6913100925
45	0.6912697598
46	0.6912245502
47	0.6911869667
48	0.691147575
49	0.6911089061
50	0.6910681008
51	0.6910297326
52	0.6909868752
53	0.6909465468
54	0.6909065622
55	0.690866275
56	0.6908269107
57	0.6907853785
58	0.6907448233
59	0.6907018128
60	0.6906625075
61	0.6906171088
62	0.690578191
63	0.6905346513
64	0.6904960784
65	0.6904547861
66	0.6904149358
67	0.690374126
68	0.6903358015
69	0.6902953199
70	0.6902560152
71	0.6902146577
72	0.6901707545
73	0.6901298392
74	0.6900904145
75	0.6900479975
76	0.6900056514
77	0.6899618745
78	0.6899208634
79	0.6898785403
80	0.6898357693
81	0.6897929359
82	0.6897519797
83	0.6897111525
84	0.6896713414
85	0.6896320472
86	0.6895931783
87	0.6895540798
88	0.6895143329
89	0.6894724736
90	0.6894324679
91	0.6893933779
92	0.6893527324
93	0.689313496
94	0.6892738819
95	0.6892323214
96	0.6891921609
97	0.6891517177
98	0.6891123356
99	0.6890729528
100	0.6890344965
101	0.6889955363
102	0.688953338
103	0.6889131574
104	0.6888726165
105	0.6888327966
106	0.6887920625
107	0.6887518872
108	0.688707043
109	0.6886665175
110	0.6886237431
111	0.6885861741
112	0.6885463954
113	0.68850638
114	0.6884688301
115	0.6884298402
116	0.6883893861
117	0.6883483726
118	0.688305
119	0.6882643696
120	0.688226625
121	0.6881861823
122	0.6881466789
123	0.6881076206
124	0.688068843
125	0.6880238892
126	0.6879846023
127	0.6879450964
128	0.6879048287
129	0.6878648297
130	0.6878278832
131	0.687788777
132	0.6877485781
133	0.6877098576
134	0.6876709041
135	0.6876279183
136	0.6875882309
137	0.6875490128
138	0.6875083751
139	0.6874644316
140	0.687424838
141	0.6873862566
142	0.6873442578
143	0.6873048123
144	0.6872653068
145	0.6872208818
146	0.6871859095
147	0.6871415652
148	0.6871041783
149	0.687064541
150	0.6870249971
151	0.6869826819
152	0.6869446981
153	0.6869041804
154	0.6868628919
155	0.6868250001
156	0.6867855797
157	0.6867465159
158	0.6867023925
159	0.686663189
160	0.6866236515
161	0.6865808252
162	0.6865416785
163	0.6865022378
164	0.6864600982
165	0.6864236641
166	0.6863815425
167	0.6863422888
168	0.6863028915
169	0.6862619259
170	0.6862214908
171	0.6861816069
172	0.6861436639
173	0.6861027755
174	0.6860648675
175	0.686024805
176	0.6859870873
177	0.6859473054
178	0.685907822
179	0.6858686238
180	0.6858284868
181	0.6857918504
182	0.6857515776
183	0.6857109895
184	0.6856688362
185	0.6856307837
186	0.6855908055
187	0.6855494867
188	0.685510915
189	0.6854736474
190	0.685435365
191	0.6853962927
192	0.6853563367
193	0.6853176949
194	0.6852778444
195	0.685237832
196	0.6852010938
197	0.685161841
198	0.6851244136
199	0.6850859465
200	0.6850430338
201	0.6850037369
202	0.6849658723
203	0.6849275914
204	0.6848887562
205	0.6848461664
206	0.684803185
207	0.6847621415
208	0.6847233823
209	0.6846833652
210	0.6846431897
211	0.6846041525
212	0.6845607854
213	0.6845221438
214	0.6844860134
215	0.6844465458
216	0.6844080261
217	0.6843643881
218	0.6843233207
219	0.6842847504
220	0.6842467776
221	0.6842090829
222	0.684171006
223	0.6841313703
224	0.6840924588
225	0.6840520066
226	0.6840135367
227	0.6839730632
228	0.6839353892
229	0.6838971596
230	0.6838597607
231	0.6838214283
232	0.6837847937
233	0.6837472355
234	0.683708056
235	0.6836669436
236	0.6836284988
237	0.6835882938
238	0.6835547432
239	0.6835163367
240	0.6834785295
241	0.6834403014
242	0.6834029856
243	0.6833630466
244	0.6833243706
245	0.683285305
246	0.6832455249
247	0.6832066002
248	0.6831699525
249	0.6831315719
250	0.6830903668
251	0.6830523826
252	0.6830135462
253	0.6829755561
254	0.6829347248
255	0.6828953602
256	0.6828555423
257	0.6828169302
258	0.6827735108
259	0.6827359856
260	0.6826956739
261	0.6826561264
262	0.6826191703
263	0.6825804365
264	0.6825408844
265	0.682502669
266	0.6824650189
267	0.6824272347
268	0.6823872681
269	0.682349074
270	0.6823111593
271	0.6822736184
272	0.6822299539
273	0.6821913056
274	0.6821495841
275	0.6821123479
276	0.6820723107
277	0.682034943
278	0.6819987372
279	0.6819601623
280	0.6819205074
281	0.6818825105
282	0.6818442827
283	0.681805752
284	0.6817681207
285	0.6817303423
286	0.6816919228
287	0.6816537076
288	0.6816149605
289	0.6815756323
290	0.6815361459
291	0.6814998992
292	0.6814560832
293	0.6814173338
294	0.6813799763
295	0.6813438979
296	0.6813073437
297	0.6812695606
298	0.6812317316
299	0.6811926071
300	0.6811548514
301	0.6811167559
302	0.6810789918
303	0.6810413381
304	0.6810025615
305	0.6809641396
306	0.6809257617
307	0.6808838173
308	0.6808400589
309	0.6808010638
310	0.6807608937
311	0.6807240026
312	0.680684594
313	0.6806435513
314	0.6806047536
315	0.6805657858
316	0.6805269887
317	0.6804888883
318	0.6804508582
319	0.6804127973
320	0.6803725279
321	0.6803350353
322	0.6802935671
323	0.6802553787
324	0.6802170207
325	0.6801783705
326	0.6801403343
327	0.6801019244
328	0.6800620081
329	0.6800216875
330	0.6799847307
331	0.6799458756
332	0.6799057116
333	0.6798673532
334	0.6798296745
335	0.6797924969
336	0.6797534748
337	0.6797170568
338	0.6796733809
339	0.6796356681
340	0.6795972848
341	0.679558803
342	0.6795218632
343	0.6794843436
344	0.6794479622
345	0.6794087721
346	0.6793716498
347	0.6793327132
348	0.6792953881
349	0.679257412
350	0.6792201084
351	0.6791811231
352	0.6791452241
353	0.6791076636
354	0.6790693786
355	0.679031559
356	0.6789941542
357	0.6789570604
358	0.6789200706
359	0.6788801364
360	0.6788408258
361	0.6788045611
362	0.6787651074
363	0.6787287524
364	0.6786902336
365	0.6786528298
366	0.6786153246
367	0.6785716081
368	0.6785335321
369	0.6784958708
370	0.6784597467
371	0.6784238025
372	0.6783838646
373	0.6783472638
374	0.6783097302
375	0.6782732027
376	0.6782351941
377	0.6781970248
378	0.6781595697
379	0.678122969
380	0.6780867278
381	0.6780498599
382	0.6780130533
383	0.6779757116
384	0.6779407525
385	0.6778974463
386	0.6778604517
387	0.6778236588
388	0.6777859328
389	0.6777478775
390	0.6777136936
391	0.6776781327
392	0.6776437009
393	0.6776046437
394	0.6775657804
395	0.6775278395
396	0.6774936248
397	0.6774540112
398	0.6774141993
399	0.6773778048
400	0.6773400689
401	0.6773023316
402	0.6772645814
403	0.6772274321
404	0.6771891799
405	0.6771505799
406	0.6771165559
407	0.6770817743
408	0.6770446398
409	0.6770069365
410	0.6769707011
411	0.6769355785
412	0.6768992426
413	0.676862072
414	0.6768250808
415	0.6767879932
416	0.676748279
417	0.6767113827
418	0.6766745553
419	0.6766356705
420	0.6765988863
421	0.6765623093
422	0.6765235999
423	0.6764878205
424	0.6764498019
425	0.6764165633
426	0.6763798859
427	0.6763373949
428	0.6762988512
429	0.6762643051
430	0.6762232591
431	0.6761856102
432	0.6761488775
433	0.6761111962
434	0.6760724246
435	0.6760357574
436	0.6759945224
437	0.6759573513
438	0.6759181814
439	0.6758810272
440	0.6758439005
441	0.6758060258
442	0.6757699848
443	0.6757324356
444	0.6756928785
445	0.6756542636
446	0.6756159756
447	0.6755777691
448	0.6755407993
449	0.6755026368
450	0.6754688726
451	0.6754330933
452	0.6753961737
453	0.6753597705
454	0.675325518
455	0.6752901585
456	0.6752541951
457	0.6752181415
458	0.6751754896
459	0.6751386748
460	0.6751006405
461	0.6750595082
462	0.6750224103
463	0.6749858236
464	0.6749494506
465	0.6749134402
466	0.6748793542
467	0.6748375353
468	0.6748005848
469	0.6747624845
470	0.6747256951
471	0.6746884466
